[[32;1;1mINFO[0m] Connection established.
Buying Power	Total Shares	Total P&L	Timestamp
        0.00	           0	     0.00	2020-04-17 10:40:23.836163
Symbol				Type	  Price		Size	Executed	ID														 Status		Timestamp
  MSFT	  Type.LIMIT_BUY	 188.81		   1		   0	6a636eda-5336-4307-b58f-8044f17580f1	     Status.PENDING_NEW		2020-04-17 10:40:29.170513
  MSFT	  Type.LIMIT_BUY	 124.42		   1		   0	1aaff2d2-9c48-4c0e-a68d-1b88e0b9be56	     Status.PENDING_NEW		2020-04-17 10:40:29.170634
  MSFT	  Type.LIMIT_BUY	 124.41		   1		   0	f634b92d-6639-4fdf-b957-db71a4826603	     Status.PENDING_NEW		2020-04-17 10:40:29.170753
  MSFT	  Type.LIMIT_BUY	 124.36		   1		   0	124f3128-e9bf-4275-80f9-79faf64a91ab	     Status.PENDING_NEW		2020-04-17 10:40:29.170867
  MSFT	  Type.LIMIT_BUY	 124.29		   1		   0	b12f6b63-b717-4134-9b6d-9e0125f51abb	     Status.PENDING_NEW		2020-04-17 10:40:29.170982
  MSFT	  Type.LIMIT_BUY	 124.23		   1		   0	ac4ca53a-5bf6-4d28-8f83-7e319f4d962d	     Status.PENDING_NEW		2020-04-17 10:40:29.171117
  MSFT	  Type.LIMIT_BUY	 124.17		   1		   0	b80ec4bd-7fe9-4020-b2f0-caf5a5779a10	     Status.PENDING_NEW		2020-04-17 10:40:29.171234
  MSFT	  Type.LIMIT_BUY	 124.04		   1		   0	9e6d22f6-867f-41a8-9635-6263fc811a90	     Status.PENDING_NEW		2020-04-17 10:40:29.171350
  MSFT	  Type.LIMIT_BUY	 119.41		   1		   0	cf5b6649-ebd4-4f1c-9d22-3364cdbfdf45	     Status.PENDING_NEW		2020-04-17 10:40:29.171464
  MSFT	  Type.LIMIT_BUY	 123.79		   1		   0	10a727cf-4bf5-4f08-b776-9cffc9b2670f	     Status.PENDING_NEW		2020-04-17 10:40:29.171581
  MSFT	  Type.LIMIT_BUY	 115.64		   1		   0	fcbae6ad-a5ed-4115-b58f-2e4fe65d60b9	     Status.PENDING_NEW		2020-04-17 10:40:29.171698
   IBM	  Type.LIMIT_BUY	 188.81		   1		   0	a1716302-1f65-4028-9321-0db602c41ba3	     Status.PENDING_NEW		2020-04-17 10:40:29.171828
   IBM	  Type.LIMIT_BUY	 132.14		   1		   0	00eff6d9-e594-450a-a61a-4a93d5ea00f0	     Status.PENDING_NEW		2020-04-17 10:40:29.171944
   IBM	  Type.LIMIT_BUY	 132.13		   1		   0	00d51961-326f-404d-9797-108f153e40e2	     Status.PENDING_NEW		2020-04-17 10:40:29.172059
   IBM	  Type.LIMIT_BUY	 132.07		   1		   0	d8d0688e-1113-49c3-acff-eca2590084fd	     Status.PENDING_NEW		2020-04-17 10:40:29.172172
   IBM	  Type.LIMIT_BUY	 132.01		   1		   0	d0a2d022-9cbf-4db4-b857-1d833e8bc342	     Status.PENDING_NEW		2020-04-17 10:40:29.172307
   IBM	  Type.LIMIT_BUY	 131.94		   1		   0	e3d3a245-8972-408a-bdd9-a234162e7df4	     Status.PENDING_NEW		2020-04-17 10:40:29.172424
   IBM	  Type.LIMIT_BUY	 131.87		   1		   0	780c13b2-f981-45c5-9f5c-f5ec271c1e8f	     Status.PENDING_NEW		2020-04-17 10:40:29.172538
   IBM	  Type.LIMIT_BUY	 131.74		   1		   0	16257231-7818-4fb4-9840-842c52486930	     Status.PENDING_NEW		2020-04-17 10:40:29.172653
   IBM	  Type.LIMIT_BUY	 126.82		   1		   0	c725e2cd-772b-4c19-91fe-a31eeb803479	     Status.PENDING_NEW		2020-04-17 10:40:29.172769
   IBM	  Type.LIMIT_BUY	 131.47		   1		   0	69505b14-5fcf-470c-9c50-0ac31b2dff71	     Status.PENDING_NEW		2020-04-17 10:40:29.172884
   IBM	  Type.LIMIT_BUY	 122.82		   1		   0	114c3254-affd-4b5b-a766-8c8e5b579c68	     Status.PENDING_NEW		2020-04-17 10:40:29.173049
Traceback (most recent call last):
  File "run.py", line 94, in <module>
    shares = sum(item.get_shares())
TypeError: 'int' object is not iterable
